,index,STATE,ZIPCODE,N2,A02650,Total Income per Individual,lng,lat
69,15701,NM,87045,1490.0,20302.0002,13.625503489932886,-108.00182,35.40018
70,13027,MS,39204,11130.0,151833.0,13.64177897574124,-90.23689,32.28313
71,5002,GA,31206,20400.0,278370.0,13.645588235294118,-83.6832,32.79383
72,14083,MT,59022,2390.0,32779.0002,13.715062845188285,-107.26756,45.57541
73,26410,WV,25114,280.0,3851.0,13.753571428571428,-81.7986,37.98199
74,9690,LA,70805,19640.0,270295.0,13.762474541751528,-91.15951,30.48831
75,9185,KY,41667,280.0,3855.0002,13.767857857142857,-82.69881,37.31138
76,14114,MT,59089,340.0,4687.0,13.785294117647059,-107.34476,45.09259
77,6305,IL,62204,3250.0,44818.0,13.790153846153846,-90.09642,38.63033
78,9107,KY,41267,640.0,8843.0001,13.817187656249999,-82.43591,37.87514
79,23750,TX,77060,31560.0,436797.0001,13.840209128643853,-95.39697,29.93567
80,24583,TX,79901,9580.0,132591.0001,13.840396670146138,-106.48049,31.7597
81,19751,OK,74126,8220.0,113850.0,13.85036496350365,-96.0331,36.23502
82,15704,NM,87052,2620.0,36318.0001,13.86183209923664,-106.36935,35.52867
83,11279,MI,48209,19620.0,272077.0,13.867329255861366,-83.11649,42.30524
84,499,AL,36612,2920.0,40551.0,13.887328767123288,-88.11285,30.75283
85,24031,TX,78046,68710.0,955596.0,13.907669917042643,-99.36803,27.38371
86,2193,CA,93702,38670.0,538489.0001,13.92523920610292,-119.75422,36.73942
87,13254,MO,63120,5420.0,75582.0001,13.945018468634688,-90.26211,38.69061
88,19153,OH,45232,5220.0,73139.0,14.011302681992337,-84.51673,39.1818
89,2037,CA,93219,9020.0,126424.0001,14.015964534368072,-119.28818,35.87908
90,20804,PA,16503,10950.0,153649.0001,14.031872155251142,-80.06103,42.12718
91,8994,KY,40923,740.0,10393.0001,14.044594729729729,-83.84923,36.92059
92,15833,NM,88048,3530.0,49657.0001,14.067138838526912,-106.6581,32.14966
93,19500,OK,73119,23730.0,334607.0001,14.10058997471555,-97.56896,35.4215
94,3714,FL,32209,27230.0,385418.0,14.154168196841718,-81.69573,30.36141
95,24221,TX,78584,17720.0,250845.0,14.156038374717832,-98.98471,26.56226
96,9754,LA,71103,4220.0,59872.0001,14.187677748815165,-93.7717,32.49154
97,6998,IN,46806,22260.0,315841.0,14.188724168912849,-85.09224,41.04649
98,2155,CA,93615,5000.0,71050.0001,14.21000002,-119.28385,36.50374
99,11297,MI,48228,39520.0,562412.0001,14.23107287702429,-83.21791,42.35562
100,23783,TX,77093,41060.0,584344.0001,14.231466149537262,-95.34097,29.8623
101,2181,CA,93652,700.0,9966.0002,14.237143142857143,-119.90458,36.59502
102,17277,NY,14605,8450.0,120414.0001,14.250177526627219,-77.60177,43.16838
103,9156,KY,41568,460.0,6561.0002,14.263043913043479,-82.05896,37.50369
104,6303,IL,62201,3810.0,54406.0001,14.279790052493437,-90.14162,38.63567
105,13560,MO,64125,1470.0,21003.0001,14.287755170068028,-94.49388,39.1065
106,2047,CA,93241,14900.0,212915.0,14.289597315436241,-118.91224,35.24922
107,11414,MI,48505,12530.0,179205.0,14.302075019952115,-83.69079,43.06948
108,3483,CT,6702,1870.0,26756.0001,14.308021443850269,-73.04539,41.55713
109,2149,CA,93608,1140.0,16318.0003,14.314035350877193,-120.3418,36.5055
110,885,AZ,86043,1260.0,18045.0001,14.321428650793651,-110.52904,35.81049
111,6878,IN,46402,3480.0,49872.0001,14.331034511494252,-87.33297,41.61032
112,20491,PA,15450,500.0,7182.0003,14.364000599999999,-79.97616,40.00289
113,23422,TX,76105,20690.0,297772.0,14.392073465442243,-97.26999,32.72327
114,9007,KY,40988,300.0,4319.0002,14.396667333333335,-83.52838,36.85928
115,23858,TX,77451,740.0,10659.0001,14.40405418918919,-96.02688,29.46173
116,2171,CA,93640,14120.0,203495.0,14.411827195467422,-120.43778,36.67215
117,14350,NE,68111,20700.0,298378.0,14.4143961352657,-95.96395,41.29564
118,15781,NM,87711,550.0,7929.0001,14.416363818181818,-105.14673,35.22458
119,16620,NY,12751,1270.0,18322.0001,14.426771732283466,-74.66119,41.69209
120,22356,SD,57652,240.0,3465.0,14.4375,-100.68883,45.13787
121,18811,OH,44127,2720.0,39290.0001,14.444852977941176,-81.64874,41.471
122,24198,TX,78538,11010.0,159357.0,14.47384196185286,-97.97152,26.36812
123,14089,MT,59031,390.0,5652.0002,14.492308205128206,-107.37964,45.50005
124,2030,CA,93204,9250.0,134379.0,14.52745945945946,-120.06776,35.90819
125,18936,OH,44502,6630.0,96372.0,14.535746606334842,-80.64253,41.08365
126,24175,TX,78405,10550.0,153415.0,14.54170616113744,-97.43872,27.77404
127,18505,OH,43211,18060.0,263066.0,14.566223698781839,-82.97244,40.01163
128,19491,OK,73109,15010.0,218895.0,14.58327781479014,-97.52452,35.43279
129,2029,CA,93203,20680.0,301865.0001,14.596953583172148,-118.8468,35.12158
130,8578,KS,67214,11710.0,170941.0,14.597865072587531,-97.31755,37.70661
131,2186,CA,93660,4490.0,65546.0001,14.598218285077952,-120.16514,36.60932
132,4707,GA,30297,23610.0,344930.0001,14.60948750952986,-84.37145,33.61511
133,24085,TX,78207,36690.0,536580.0,14.624693376941947,-98.52545,29.42223
134,20160,OR,97441,200.0,2925.0,14.625,-124.14414,43.77659
135,521,AL,36751,690.0,10106.0,14.646376811594203,-87.54865,31.80808
136,2058,CA,93256,4920.0,72140.0,14.66260162601626,-119.31251,35.96805
137,22823,TN,38127,36040.0,528648.0,14.668368479467258,-90.01753,35.23795
138,22380,SD,57752,1910.0,28024.0002,14.672251413612564,-102.20738,43.43593
139,15494,NJ,8104,17540.0,257383.0,14.67405929304447,-75.11203,39.91672
140,6308,IL,62207,4890.0,71777.0001,14.678323128834357,-90.12544,38.58327
141,2045,CA,93239,1310.0,19230.0001,14.679389389312979,-119.98645,36.03293
142,24210,TX,78570,29570.0,434219.0,14.684443692932026,-97.9112,26.17149
143,23641,TX,76704,5430.0,79739.0,14.684898710865562,-97.12417,31.57558
144,11859,MI,49642,560.0,8231.0001,14.698214464285712,-85.77059,43.87927
145,539,AL,36786,2350.0,34543.0001,14.699148978723404,-87.49002,32.43832
146,17170,NY,14211,19150.0,281655.0,14.707832898172324,-78.81883,42.90813
147,5766,IL,60621,19260.0,283332.0,14.710903426791278,-87.63955,41.77624
148,19490,OK,73108,10670.0,156995.0001,14.713683233364574,-97.56774,35.45034
149,26290,WA,99321,1190.0,17513.0002,14.7168068907563,-119.88925,46.86576
150,11275,MI,48205,24880.0,366205.0,14.718850482315112,-82.98131,42.43317
151,24115,TX,78237,31270.0,461210.0,14.749280460505277,-98.56832,29.42079
152,26346,WV,24882,280.0,4133.0,14.760714285714286,-81.76623,37.62771
153,19896,OK,74829,450.0,6653.0001,14.784444666666667,-96.47392,35.51332
154,16476,NY,12307,5880.0,86983.0001,14.793027227891157,-73.93341,42.80507
155,23954,TX,77703,10560.0,156225.0,14.794034090909092,-94.10906,30.11522
156,18249,ND,58370,810.0,11995.0003,14.808642345679011,-98.85977,47.9842
157,1824,CA,92274,18190.0,269375.0001,14.808960973062122,-116.11387,33.47031
158,8382,KS,66607,7160.0,106105.0,14.81913407821229,-95.63502,39.0422
159,9759,LA,71108,14000.0,207495.0,14.821071428571429,-93.78881,32.44236
160,23728,TX,77037,17330.0,256947.0001,14.826716682054242,-95.39438,29.8918
161,18880,OH,44311,3710.0,55054.0001,14.839353126684635,-81.52047,41.06427
162,5779,IL,60636,25850.0,383599.0,14.839419729206963,-87.66909,41.77578
163,24579,TX,79839,1520.0,22598.0001,14.86710532894737,-105.68693,31.36476
164,8973,KY,40815,890.0,13242.0001,14.878651797752807,-83.22876,36.7876
165,19747,OK,74115,18720.0,278732.0,14.889529914529914,-95.90903,36.1923
166,9179,KY,41650,520.0,7743.0002,14.890385,-82.68166,37.34722
167,14785,NV,89030,45400.0,676774.0001,14.906916301762113,-115.12313,36.21235
168,8277,KS,66105,2180.0,32528.0001,14.921100963302752,-94.63646,39.08593
169,15682,NM,87013,3620.0,54070.0001,14.9364641160221,-107.33509,35.90014
170,19060,OH,44902,3360.0,50271.0,14.961607142857142,-82.51095,40.7589
171,15709,NM,87063,240.0,3592.0001,14.966667083333334,-105.85432,34.49265
172,924,AZ,86547,690.0,10331.0003,14.97246420289855,-109.46019,36.52759
173,8998,KY,40940,360.0,5392.0002,14.977778333333335,-83.92988,36.60991
174,1722,CA,91980,2660.0,39843.0002,14.9785715037594,-116.61969,32.58685
175,13060,MS,39348,520.0,7799.0002,14.99807730769231,-89.03475,32.00007
176,9189,KY,41714,350.0,5250.0002,15.000000571428572,-83.5075,37.16519
177,13267,MO,63133,5020.0,75310.0001,15.00199205179283,-90.30677,38.68226
178,23768,TX,77078,13020.0,195596.0,15.022734254992319,-95.25089,29.8529
179,14098,MT,59050,1320.0,19855.0001,15.041666742424244,-107.47849,45.25013
180,13562,MO,64127,12810.0,192727.0,15.045042935206869,-94.53837,39.08912
181,13760,MO,64847,260.0,3915.0002,15.057693076923076,-94.43863,36.59217
182,22807,TN,38106,17930.0,270361.0,15.078694924707195,-90.0375,35.10067
183,23112,TX,75217,76740.0,1157949.0,15.089249413604378,-96.68243,32.71291
184,5016,GA,31315,7120.0,107509.0,15.099578651685393,-81.60598,31.88768
185,9407,KY,42649,1190.0,17974.0001,15.104201764705884,-84.41798,36.6253
186,23111,TX,75216,46940.0,709564.0001,15.11640392202812,-96.78256,32.71158
187,1421,CA,90011,88690.0,1343327.0,15.146318637952419,-118.25861,34.00689
188,9760,LA,71109,13840.0,209642.0,15.147543352601156,-93.814,32.46859
189,23719,TX,77028,16010.0,242604.0,15.153279200499687,-95.28668,29.82471
190,22391,SD,57772,1400.0,21229.0002,15.163571571428571,-102.51903,43.48182
191,101,AL,35218,4510.0,68413.0001,15.169179623059868,-86.89388,33.50771
192,2053,CA,93249,2540.0,38544.0,15.1748031496063,-119.85814,35.67033
193,8979,KY,40828,2550.0,38713.0001,15.181568666666665,-83.14868,36.87107
194,12822,MS,38617,510.0,7750.0001,15.19607862745098,-90.49342,34.36261
195,4011,FL,33034,20010.0,304300.0,15.207396301849075,-80.86342,25.4195
196,18630,OH,43608,9630.0,146510.0,15.213914849428868,-83.53062,41.68008
197,9121,KY,41408,300.0,4565.0002,15.216667333333335,-83.28828,37.79508
198,26562,WV,25703,2160.0,32873.0001,15.218981527777776,-82.41827,38.42201
199,11283,MI,48213,12670.0,192874.0,15.222888713496449,-82.9955,42.39787
200,436,AL,36481,200.0,3045.0001,15.2250005,-87.37553,31.77356
201,6883,IN,46407,6760.0,102931.0,15.226479289940828,-87.33047,41.57844
202,642,AZ,85017,30500.0,464619.0001,15.233409839344262,-112.12381,33.50898
203,8868,KY,40210,10350.0,157741.0,15.240676328502415,-85.78592,38.23161
204,1311,AR,72683,250.0,3811.0002,15.2440008,-93.11629,35.93102
205,1382,AR,72904,18430.0,281003.0,15.247042864894194,-94.38338,35.4151
206,2177,CA,93647,10170.0,155171.0001,15.257718790560473,-119.17773,36.58449
207,9113,KY,41317,270.0,4120.0002,15.259260000000001,-83.19851,37.46029
208,1089,AR,72082,1350.0,20601.0001,15.260000074074075,-91.66963,35.23713
209,349,AL,36110,9040.0,137987.0,15.264048672566371,-86.25566,32.44899
210,1145,AR,72209,24870.0,379658.0,15.265701648572577,-92.33974,34.6805
211,9072,KY,41159,350.0,5345.0002,15.271429142857144,-82.96993,38.01305
212,26947,WI,53205,7350.0,112308.0,15.28,-87.93363,43.05359
213,25415,VA,23357,670.0,10239.0001,15.282089701492536,-75.67459,37.75862
214,27580,WY,82510,290.0,4432.0,15.282758620689656,-108.6055,42.99294
215,19755,OK,74130,1790.0,27377.0001,15.294413463687151,-95.95536,36.24172
216,3129,CO,80902,9680.0,148132.0,15.302892561983471,-104.8127,38.68683
217,26338,WV,24850,560.0,8572.0003,15.307143392857142,-81.88516,37.37807
218,3760,FL,32332,1490.0,22812.0001,15.310067181208055,-84.6657,30.61168
219,6307,IL,62206,10780.0,165052.0,15.310946196660483,-90.16981,38.56796
220,11304,MI,48238,16950.0,259657.0,15.318997050147493,-83.14136,42.39626
221,9162,KY,41604,280.0,4293.0002,15.332143571428572,-82.66782,37.38986
222,12884,MS,38762,1530.0,23459.0001,15.33267980392157,-90.72681,33.8885
